Unnamed: 0,id_estudiante,carrera_alumno,codigo_materia,materia,nivel_materia,repite_materia,nota_final,ppa,ppac,fecha_inscripcion
,1,OTRO,ABC100,AAAAMATERIA,0,0,0,0,0,1/1/2017
,2,SIS,ADM100,ADMINISTRACION,3,0,82,45,45,2/23/2017
,3,INF,ADM100,ADMINISTRACION,3,1,0,40,40,2/24/2017
,4,SIS,ADM100,ADMINISTRACION,3,3,0,2,2,2/24/2017
,5,INF,ADM100,ADMINISTRACION,3,1,0,12,12,4/7/2017
,6,SIS,ADM100,ADMINISTRACION,3,0,97,36,36,3/27/2017
,7,SIS,ADM100,ADMINISTRACION,3,1,0,11,11,3/3/2017
,8,SIS,ADM100,ADMINISTRACION,3,0,89,53,53,2/23/2017
,9,INF,ADM100,ADMINISTRACION,3,0,85,31,26,2/23/2017
,10,SIS,ADM100,ADMINISTRACION,3,0,80,47,47,2/24/2017
,11,RED,ADM100,ADMINISTRACION,3,0,83,50,50,2/23/2017
,12,INF,ADM100,ADMINISTRACION,3,0,95,74,59,3/27/2017
,13,SIS,ADM100,ADMINISTRACION,3,0,80,33,33,2/24/2017
,14,SIS,ADM100,ADMINISTRACION,3,0,80,46,46,2/22/2017
,15,SIS,ADM100,ADMINISTRACION,3,0,100,46,46,3/29/2017
,16,SIS,ADM100,ADMINISTRACION,3,0,80,50,50,2/23/2017
,17,RED,ADM100,ADMINISTRACION,3,0,90,51,51,2/22/2017
,18,INF,ADM100,ADMINISTRACION,3,1,0,36,19,3/29/2017
,19,SIS,ADM100,ADMINISTRACION,3,0,98,13,13,3/30/2017
,20,SIS,ADM100,ADMINISTRACION,3,0,92,96,96,2/22/2017
,21,RED,ADM100,ADMINISTRACION,3,2,0,5,5,2/24/2017
,22,SIS,ADM100,ADMINISTRACION,3,0,96,54,54,2/22/2017
,23,INF,ADM100,ADMINISTRACION,3,0,95,68,66,2/23/2017
,24,INF,ADM100,ADMINISTRACION,3,0,96,21,21,2/24/2017
,25,RED,ADM100,ADMINISTRACION,3,0,95,42,42,2/24/2017
,26,RED,ADM100,ADMINISTRACION,3,0,87,23,23,2/24/2017
,27,SIS,ADM100,ADMINISTRACION,3,0,85,42,42,2/23/2017
,28,SIS,ADM100,ADMINISTRACION,3,3,0,18,18,3/1/2017
,29,INF,ADM100,ADMINISTRACION,3,0,88,32,32,2/24/2017
,30,SIS,ADM100,ADMINISTRACION,3,0,100,32,32,2/23/2017
,31,SIS,ADM100,ADMINISTRACION,3,0,70,24,24,3/1/2017
,32,SIS,ADM100,ADMINISTRACION,3,0,98,64,64,2/22/2017
,33,SIS,ADM100,ADMINISTRACION,3,0,85,32,32,2/23/2017
,34,SIS,ADM100,ADMINISTRACION,3,2,0,38,38,2/24/2017
,35,SIS,ADM100,ADMINISTRACION,3,0,95,66,66,2/22/2017
,36,INF,ADM100,ADMINISTRACION,3,0,100,64,64,2/22/2017
,37,SIS,ADM100,ADMINISTRACION,3,0,80,40,40,3/29/2017
,38,SIS,ADM100,ADMINISTRACION,3,0,80,50,50,2/24/2017
,39,RED,ADM100,ADMINISTRACION,3,1,0,25,25,2/24/2017
,40,INF,ADM100,ADMINISTRACION,3,0,95,45,45,3/7/2017
,41,SIS,ADM100,ADMINISTRACION,3,0,85,47,47,2/23/2017
,42,RED,ADM100,ADMINISTRACION,3,0,90,23,23,2/24/2017
,43,SIS,ADM100,ADMINISTRACION,3,0,82,60,60,3/27/2017
,44,INF,ADM100,ADMINISTRACION,3,0,70,52,52,2/22/2017
